gen,,
shape,0,-16777216,Noir,
pt,0,153,164,
pt,1,267,91,
pt,2,492,134,
pt,3,370,355,
pt,4,169,288,
pt,5,127,311,
shape,1,-2037263,yeux_blc,
pt,0,158,167,
pt,1,348,87,
pt,2,424,215,
pt,3,371,348,
pt,4,174,268,
pt,5,132,314,
shape,2,-16760704,Cil,
pt,0,64,90,
pt,1,281,75,
pt,2,488,90,
pt,3,452,243,
pt,4,422,99,
pt,5,118,151,
shape,3,-10126528,iris,
pt,0,235,157,
pt,1,332,118,
pt,2,406,253,
pt,3,329,294,
pt,4,206,336,
pt,5,165,189,
shape,4,-1,reflet,
pt,0,252,158,
pt,1,288,157,
pt,2,289,198,
pt,3,263,204,
pt,4,232,210,
pt,5,225,161,
