gen,,
shape,0,-16777216,line,
pt,0,370,118,
pt,1,509,108,
pt,2,402,253,
pt,3,323,288,
pt,4,119,304,
pt,5,171,261,
pt,6,99,252,
pt,7,89,242,
pt,8,92,151,
pt,9,129,142,
pt,10,345,168,
pt,11,461,155,
shape,1,-8355712,body,
pt,0,373,119,
pt,1,499,111,
pt,2,401,248,
pt,3,322,283,
pt,4,118,299,
pt,5,175,259,
pt,6,103,250,
pt,7,93,240,
pt,8,94,154,
pt,9,131,145,
pt,10,307,171,
pt,11,475,159,
shape,2,-1443842,eye,
pt,0,145,159,
pt,1,177,156,
pt,2,182,196,
pt,3,157,196,
pt,4,120,203,
pt,5,118,162,
shape,3,-16777216,eyeblack,
pt,0,142,166,
pt,1,161,164,
pt,2,162,188,
pt,3,147,189,
pt,4,124,190,
pt,5,122,165,
